rank,ranking-institution-title,ranking-institution-title href,location,overall,resources,engagement,outcomes,enviroment
253,Embry-Riddle Aeronautical University-Prescott,https://www.timeshighereducation.com/world-university-rankings/embry-riddle-aeronautical-university-prescott#ranking-dataset/634830,Arizona,57.8,13,15.3,24.1,5.4
255,Florida State University,https://www.timeshighereducation.com/world-university-rankings/florida-state-university#ranking-dataset/634830,Florida,57.7,9.4,16.8,25.8,5.7
255,University of Oklahoma,https://www.timeshighereducation.com/world-university-rankings/university-oklahoma#ranking-dataset/634830,Oklahoma,57.7,12.9,16.6,22.2,6
257,Hofstra University,https://www.timeshighereducation.com/world-university-rankings/hofstra-university#ranking-dataset/634830,New York,57.5,17.2,16.7,17.9,5.7
257,State University of New York Albany,https://www.timeshighereducation.com/world-university-rankings/state-university-new-york-albany#ranking-dataset/634830,New York,57.5,13,14.6,22.4,7.5
257,Valparaiso University,https://www.timeshighereducation.com/world-university-rankings/valparaiso-university#ranking-dataset/634830,Indiana,57.5,15.5,17.1,20.7,4.2
257,Westmont College,https://www.timeshighereducation.com/world-university-rankings/westmont-college#ranking-dataset/634830,California,57.5,16,15.2,21.9,4.4
261,University of Georgia,https://www.timeshighereducation.com/world-university-rankings/university-georgia#ranking-dataset/634830,Georgia,57.3,10.3,17.1,25.3,4.7
262,University of Kansas,https://www.timeshighereducation.com/world-university-rankings/university-kansas#ranking-dataset/634830,Kansas,57.2,16.4,17,18.5,5.3
262,Pratt Institute-Main,https://www.timeshighereducation.com/world-university-rankings/pratt-institute-main#ranking-dataset/634830,New York,57.2,18.9,14.6,17.2,6.5
264,Alma College,https://www.timeshighereducation.com/world-university-rankings/alma-college#ranking-dataset/634830,Michigan,57.1,18.4,15.6,20.4,2.6
264,John Carroll University,https://www.timeshighereducation.com/world-university-rankings/john-carroll-university#ranking-dataset/634830,Ohio,57.1,14.3,15.6,24.4,2.8
264,Sarah Lawrence College,https://www.timeshighereducation.com/world-university-rankings/sarah-lawrence-college#ranking-dataset/634830,New York,57.1,20.5,14.6,16.2,5.8
264,Transylvania University,https://www.timeshighereducation.com/world-university-rankings/transylvania-university#ranking-dataset/634830,Kentucky,57.1,17.1,15.6,22.2,2.1
