rank,ranking-institution-title,ranking-institution-title href,location,overall,resources,engagement,outcomes,enviroment
268,University of South Carolina,https://www.timeshighereducation.com/world-university-rankings/university-south-carolina#ranking-dataset/634830,South Carolina,57,12.7,16.2,23.6,4.5
271,CUNY Bernard M Baruch College,https://www.timeshighereducation.com/world-university-rankings/cuny-bernard-m-baruch-college#ranking-dataset/634830,New York,56.9,8.2,14.1,25.8,8.8
272,CUNY City College,https://www.timeshighereducation.com/world-university-rankings/cuny-city-college#ranking-dataset/634830,New York,56.8,17.9,14.6,15.5,8.8
272,"University of California, Riverside",https://www.timeshighereducation.com/world-university-rankings/university-california-riverside#ranking-dataset/634830,California,56.8,13.5,16,18.9,8.5
274,Augustana College,https://www.timeshighereducation.com/world-university-rankings/augustana-college#ranking-dataset/634830,South Dakota,56.7,16.6,16.1,21.6,2.3
274,George Mason University,https://www.timeshighereducation.com/world-university-rankings/george-mason-university#ranking-dataset/634830,Virginia,56.7,11,15.7,23.7,6.4
274,Houghton College,https://www.timeshighereducation.com/world-university-rankings/houghton-college#ranking-dataset/634830,New York,56.7,16.4,15.8,21.7,2.8
274,Southwestern University,https://www.timeshighereducation.com/world-university-rankings/southwestern-university#ranking-dataset/634830,Texas,56.7,17,15.9,19.1,4.8
278,Adelphi University,https://www.timeshighereducation.com/world-university-rankings/adelphi-university#ranking-dataset/634830,New York,56.6,16,15,18.8,6.8
279,Bard College,https://www.timeshighereducation.com/world-university-rankings/bard-college#ranking-dataset/634830,New York,56.4,22.2,14,16.2,4.1
279,Goucher College,https://www.timeshighereducation.com/world-university-rankings/goucher-college#ranking-dataset/634830,Maryland,56.4,18.2,14.5,18.8,4.9
281,DePaul University,https://www.timeshighereducation.com/world-university-rankings/depaul-university#ranking-dataset/634830,Illinois,56.3,11.4,16.8,21.5,6.7
282,Hendrix College,https://www.timeshighereducation.com/world-university-rankings/hendrix-college#ranking-dataset/634830,Arkansas,56.2,18.8,15.8,18.6,3
283,Moravian College,https://www.timeshighereducation.com/world-university-rankings/moravian-college#ranking-dataset/634830,Pennsylvania,55.9,15.1,15.5,22,3.3
284,Oklahoma City University,https://www.timeshighereducation.com/world-university-rankings/oklahoma-city-university#ranking-dataset/634830,Oklahoma,55.8,18.7,17.5,14.2,5.5
284,Suffolk University,https://www.timeshighereducation.com/world-university-rankings/suffolk-university#ranking-dataset/634830,Massachusetts,55.8,14.8,15.8,18.1,7.1
286,"University of California, Santa Cruz",https://www.timeshighereducation.com/world-university-rankings/university-california-santa-cruz#ranking-dataset/634830,California,55.7,11.2,14.9,21.8,7.7
286,University of Oregon,https://www.timeshighereducation.com/world-university-rankings/university-oregon#ranking-dataset/634830,Oregon,55.7,11.5,16.2,21.9,6.2
286,Pacific Lutheran University,https://www.timeshighereducation.com/world-university-rankings/pacific-lutheran-university#ranking-dataset/634830,Washington,55.7,15.2,15.7,19.6,5.2
289,California College of the Arts,https://www.timeshighereducation.com/world-university-rankings/california-college-arts#ranking-dataset/634830,California,55.6,18,14.6,14.7,8.3
289,Rutgers University-Camden,https://www.timeshighereducation.com/world-university-rankings/rutgers-university-camden#ranking-dataset/634830,New Jersey,55.6,17.9,14.1,16.9,6.7
289,Western New England University,https://www.timeshighereducation.com/world-university-rankings/western-new-england-university#ranking-dataset/634830,Massachusetts,55.6,16.3,16,18.7,4.6
292,Iowa State University,https://www.timeshighereducation.com/world-university-rankings/iowa-state-university#ranking-dataset/634830,Iowa,55.5,10.9,16.7,23.3,4.6
292,La Salle University,https://www.timeshighereducation.com/world-university-rankings/la-salle-university#ranking-dataset/634830,Pennsylvania,55.5,13.2,15.9,21.1,5.4
292,University of Saint Joseph,https://www.timeshighereducation.com/world-university-rankings/university-saint-joseph#ranking-dataset/634830,Connecticut,55.5,16.3,14.7,18,6.5
292,Seton Hall University,https://www.timeshighereducation.com/world-university-rankings/seton-hall-university#ranking-dataset/634830,New Jersey,55.5,12.8,15.7,20.8,6.1
296,California Institute of the Arts,https://www.timeshighereducation.com/world-university-rankings/california-institute-arts#ranking-dataset/634830,California,55.4,19.9,14.7,13.6,7.2
296,Whittier College,https://www.timeshighereducation.com/world-university-rankings/whittier-college#ranking-dataset/634830,California,55.4,17,14.9,16.1,7.4
298,Coe College,https://www.timeshighereducation.com/world-university-rankings/coe-college#ranking-dataset/634830,Iowa,55.3,15.7,16,20.7,2.9
298,Mount Saint Mary's University,https://www.timeshighereducation.com/world-university-rankings/mount-saint-marys-university#ranking-dataset/634830,California,55.3,12.2,15.3,20.1,7.8
298,University of Portland,https://www.timeshighereducation.com/world-university-rankings/university-portland#ranking-dataset/634830,Oregon,55.3,11.4,15.3,24.9,3.7
301,University of Evansville,https://www.timeshighereducation.com/world-university-rankings/university-evansville#ranking-dataset/634830,Indiana,55.2,15.3,17.3,18.7,3.8
301,Wayne State University,https://www.timeshighereducation.com/world-university-rankings/wayne-state-university#ranking-dataset/634830,Michigan,55.2,16.7,16.2,14.6,7.7
303,Calvin College,https://www.timeshighereducation.com/world-university-rankings/calvin-college#ranking-dataset/634830,Michigan,55.1,15.7,17.4,18.6,3.4
303,Hampshire College,https://www.timeshighereducation.com/world-university-rankings/hampshire-college#ranking-dataset/634830,Massachusetts,55.1,19.9,16.3,13.6,5.3
305,Lebanon Valley College,https://www.timeshighereducation.com/world-university-rankings/lebanon-valley-college#ranking-dataset/634830,Pennsylvania,54.9,16.6,15.3,20.9,2.2
306,Auburn University,https://www.timeshighereducation.com/world-university-rankings/auburn-university#ranking-dataset/634830,Alabama,54.8,13,17.6,21.1,3.1
306,Baldwin Wallace University,https://www.timeshighereducation.com/world-university-rankings/baldwin-wallace-university#ranking-dataset/634830,Ohio,54.8,13.6,17.2,20.8,3.2
306,CUNY Hunter College,https://www.timeshighereducation.com/world-university-rankings/cuny-hunter-college#ranking-dataset/634830,New York,54.8,13.5,14.6,18.3,8.4
306,Oregon State University,https://www.timeshighereducation.com/world-university-rankings/oregon-state-university#ranking-dataset/634830,Oregon,54.8,11,16.3,21.7,5.8
306,Point Loma Nazarene University,https://www.timeshighereducation.com/world-university-rankings/point-loma-nazarene-university#ranking-dataset/634830,California,54.8,11,17.4,21.6,4.9
310,University of Hartford,https://www.timeshighereducation.com/world-university-rankings/university-hartford#ranking-dataset/634830,Connecticut,54.7,18.5,15.7,15.6,4.9
310,Kettering University,https://www.timeshighereducation.com/world-university-rankings/kettering-university#ranking-dataset/634830,Michigan,54.7,14.8,14.8,19.8,5.2
312,College for Creative Studies,https://www.timeshighereducation.com/world-university-rankings/college-creative-studies#ranking-dataset/634830,Michigan,54.6,16.2,15,18.6,4.9
312,Miami University,https://www.timeshighereducation.com/world-university-rankings/miami-university#ranking-dataset/634830,Ohio,54.6,11.4,17.5,20.9,4.7
312,Saint Michael's College,https://www.timeshighereducation.com/world-university-rankings/saint-michaels-college#ranking-dataset/634830,Vermont,54.6,14.9,15.8,21.9,2
312,Taylor University,https://www.timeshighereducation.com/world-university-rankings/taylor-university#ranking-dataset/634830,Indiana,54.6,15.7,17.5,18.7,2.7
312,The University of Tennessee-Knoxville,https://www.timeshighereducation.com/world-university-rankings/university-tennessee-knoxville#ranking-dataset/634830,Tennessee,54.6,14,16.6,20.2,3.8
312,University of Utah,https://www.timeshighereducation.com/world-university-rankings/university-utah#ranking-dataset/634830,Utah,54.6,13.5,17.1,19,4.9
312,University of Washington-Tacoma,https://www.timeshighereducation.com/world-university-rankings/university-washington-tacoma#ranking-dataset/634830,Washington,54.6,16.1,15.4,15.5,7.6
319,Colorado State University,https://www.timeshighereducation.com/world-university-rankings/colorado-state-university#ranking-dataset/634830,Colorado,54.5,12.7,17,20.9,3.9
319,University of Hawai‰Ûªi at M€noa,https://www.timeshighereducation.com/world-university-rankings/university-hawaii-manoa#ranking-dataset/634830,Hawaii,54.5,19.9,15.6,11.2,7.8
319,Pacific University,https://www.timeshighereducation.com/world-university-rankings/pacific-university#ranking-dataset/634830,Oregon,54.5,18.8,15.8,14,5.9
322,Bellarmine University,https://www.timeshighereducation.com/world-university-rankings/bellarmine-university#ranking-dataset/634830,Kentucky,54.3,16,16.2,20,2.1
322,Hampden-Sydney College,https://www.timeshighereducation.com/world-university-rankings/hampden-sydney-college#ranking-dataset/634830,Virginia,54.3,19.4,15.4,17.9,1.7
322,Pace University-New York,https://www.timeshighereducation.com/world-university-rankings/pace-university-new-york#ranking-dataset/634830,New York,54.3,11.7,15.9,19.3,7.4
322,Rowan University,https://www.timeshighereducation.com/world-university-rankings/rowan-university#ranking-dataset/634830,New Jersey,54.3,12.7,15.8,20.3,5.6
322,Saint Joseph's University,https://www.timeshighereducation.com/world-university-rankings/saint-josephs-university#ranking-dataset/634830,Pennsylvania,54.3,13.1,16.8,20.9,3.4
322,William Jewell College,https://www.timeshighereducation.com/world-university-rankings/william-jewell-college#ranking-dataset/634830,Missouri,54.3,17.5,16.3,18,2.4
328,University of Cincinnati,https://www.timeshighereducation.com/world-university-rankings/university-cincinnati#ranking-dataset/634830,Ohio,54.2,12.5,17.3,19.5,4.8
328,University of Mississippi,https://www.timeshighereducation.com/world-university-rankings/university-mississippi#ranking-dataset/634830,Mississippi,54.2,14.3,16.5,19,4.5
330,Illinois College,https://www.timeshighereducation.com/world-university-rankings/illinois-college#ranking-dataset/634830,Illinois,54,18.2,14.9,16.7,4.1
330,University of Missouri,https://www.timeshighereducation.com/world-university-rankings/university-missouri#ranking-dataset/634830,Missouri,54,11.2,16.1,22.8,4
330,University of Nevada-Reno,https://www.timeshighereducation.com/world-university-rankings/university-nevada-reno#ranking-dataset/634830,Nevada,54,12.3,16.5,19,6.3
330,Saint Francis University,https://www.timeshighereducation.com/world-university-rankings/saint-francis-university#ranking-dataset/634830,Pennsylvania,54,12.4,16.8,22.9,1.9
334,Cedar Crest College,https://www.timeshighereducation.com/world-university-rankings/cedar-crest-college#ranking-dataset/634830,Pennsylvania,53.9,14.8,17.3,17,4.9
335,Andrews University,https://www.timeshighereducation.com/world-university-rankings/andrews-university#ranking-dataset/634830,Michigan,53.8,18.7,16.1,10.9,8
335,Nazareth College,https://www.timeshighereducation.com/world-university-rankings/nazareth-college#ranking-dataset/634830,New York,53.8,18.1,16.7,15.6,3.3
335,Nova Southeastern University,https://www.timeshighereducation.com/world-university-rankings/nova-southeastern-university#ranking-dataset/634830,Florida,53.8,14.9,16,14.9,8
338,CUNY Brooklyn College,https://www.timeshighereducation.com/world-university-rankings/cuny-brooklyn-college#ranking-dataset/634830,New York,53.7,9.8,15.5,20.4,8
338,Southern Illinois University Carbondale,https://www.timeshighereducation.com/world-university-rankings/southern-illinois-university-carbondale#ranking-dataset/634830,Illinois,53.7,15.9,16.4,14.3,7
340,Saint Vincent College,https://www.timeshighereducation.com/world-university-rankings/saint-vincent-college#ranking-dataset/634830,Pennsylvania,53.6,13.7,16,22.1,1.8
340,Stetson University,https://www.timeshighereducation.com/world-university-rankings/stetson-university#ranking-dataset/634830,Florida,53.6,17.2,15.6,15.2,5.5
340,Tuskegee University,https://www.timeshighereducation.com/world-university-rankings/tuskegee-university#ranking-dataset/634830,Alabama,53.6,17.4,15,15.7,5.6
343,University of New England,https://www.timeshighereducation.com/world-university-rankings/university-new-england#ranking-dataset/634830,Maine,53.5,15.5,14.9,21.5,1.5
343,University of Redlands,https://www.timeshighereducation.com/world-university-rankings/university-redlands#ranking-dataset/634830,California,53.5,10.7,15.8,21.2,5.8
345,Brigham Young University,https://www.timeshighereducation.com/world-university-rankings/brigham-young-university#ranking-dataset/634830,Hawaii,53.4,9.6,16.5,19.9,7.5
346,Carroll College,https://www.timeshighereducation.com/world-university-rankings/carroll-college#ranking-dataset/634830,Montana,53.3,13.4,16.3,22.1,1.4
346,Queens University of Charlotte,https://www.timeshighereducation.com/world-university-rankings/queens-university-charlotte#ranking-dataset/634830,North Carolina,53.3,17.2,15.6,15.7,4.9
348,Merrimack College,https://www.timeshighereducation.com/world-university-rankings/merrimack-college#ranking-dataset/634830,Massachusetts,53.2,12.3,15.9,22.1,3
348,Rider University,https://www.timeshighereducation.com/world-university-rankings/rider-university#ranking-dataset/634830,New Jersey,53.2,15.6,15.2,17.4,5
348,Springfield College,https://www.timeshighereducation.com/world-university-rankings/springfield-college#ranking-dataset/634830,Massachusetts,53.2,13.8,15.2,21.5,2.7
348,University of St Thomas,https://www.timeshighereducation.com/world-university-rankings/university-st-thomas#ranking-dataset/634830,Minnesota,53.2,13.7,16.6,19.7,3.3
348,University of Washington Bothell,https://www.timeshighereducation.com/world-university-rankings/university-washington-bothell#ranking-dataset/634830,Washington,53.2,14.3,14.8,16.5,7.7
353,Saint John Fisher College,https://www.timeshighereducation.com/world-university-rankings/saint-john-fisher-college#ranking-dataset/634830,New York,53.1,15.4,16,18.8,2.9
353,St Norbert College,https://www.timeshighereducation.com/world-university-rankings/st-norbert-college#ranking-dataset/634830,Wisconsin,53.1,12.6,17,21.8,1.7
355,Kansas State University,https://www.timeshighereducation.com/world-university-rankings/kansas-state-university#ranking-dataset/634830,Kansas,53,13.3,17.3,18,4.3
355,MCPHS University,https://www.timeshighereducation.com/world-university-rankings/mcphs-university#ranking-dataset/634830,Massachusetts,53,9.4,13,23.8,6.8
357,Lawrence Technological University,https://www.timeshighereducation.com/world-university-rankings/lawrence-technological-university#ranking-dataset/634830,Michigan,52.9,14.7,15.2,18,5
357,"University of Maryland, Baltimore County",https://www.timeshighereducation.com/world-university-rankings/university-maryland-baltimore-county#ranking-dataset/634830,Maryland,52.9,9.4,15,21.6,6.9
357,Xavier University of Louisiana,https://www.timeshighereducation.com/world-university-rankings/xavier-university-louisiana#ranking-dataset/634830,Louisiana,52.9,12.9,15.4,18.1,6.5
360,Albright College,https://www.timeshighereducation.com/world-university-rankings/albright-college#ranking-dataset/634830,Pennsylvania,52.8,11,14.9,21.3,5.5
360,Assumption College,https://www.timeshighereducation.com/world-university-rankings/assumption-college#ranking-dataset/634830,Massachusetts,52.8,12.3,15.4,22.9,2.2
360,Azusa Pacific University,https://www.timeshighereducation.com/world-university-rankings/azusa-pacific-university#ranking-dataset/634830,California,52.8,13.8,15.6,16.2,7.2
360,Elmhurst College,https://www.timeshighereducation.com/world-university-rankings/elmhurst-college#ranking-dataset/634830,Illinois,52.8,10.5,16.6,21.9,3.9
360,Hartwick College,https://www.timeshighereducation.com/world-university-rankings/hartwick-college#ranking-dataset/634830,New York,52.8,17.3,14.4,17.8,3.2
360,University of Kentucky,https://www.timeshighereducation.com/world-university-rankings/university-kentucky#ranking-dataset/634830,Kentucky,52.8,13,16.8,19.3,3.8
366,SUNY College of Environmental Science and Forestry,https://www.timeshighereducation.com/world-university-rankings/suny-college-environmental-science-and-forestry#ranking-dataset/634830,New York,52.7,15.2,15.7,19,2.7
367,CUNY Queens College,https://www.timeshighereducation.com/world-university-rankings/cuny-queens-college#ranking-dataset/634830,New York,52.6,9.4,15.5,19.9,7.9
367,Canisius College,https://www.timeshighereducation.com/world-university-rankings/canisius-college#ranking-dataset/634830,New York,52.6,15.5,15.9,18,3.1
367,Cedarville University,https://www.timeshighereducation.com/world-university-rankings/cedarville-university#ranking-dataset/634830,Ohio,52.6,12,17.9,21.1,1.6
367,Marian University (Indiana)),https://www.timeshighereducation.com/world-university-rankings/marian-university-indiana#ranking-dataset/634830,Indiana,52.6,15.1,15,19.2,3.3
371,Messiah College,https://www.timeshighereducation.com/world-university-rankings/messiah-college#ranking-dataset/634830,Pennsylvania,52.5,13.9,17.5,19.2,1.9
371,New Jersey Institute of Technology,https://www.timeshighereducation.com/world-university-rankings/new-jersey-institute-technology#ranking-dataset/634830,New Jersey,52.5,10.3,13.4,21,7.9
371,Wartburg College,https://www.timeshighereducation.com/world-university-rankings/wartburg-college#ranking-dataset/634830,Iowa,52.5,16.4,15.6,17.8,2.6
371,University of Wyoming,https://www.timeshighereducation.com/world-university-rankings/university-wyoming#ranking-dataset/634830,Wyoming,52.5,15.8,17.3,16.3,3.2
375,King's College,https://www.timeshighereducation.com/world-university-rankings/kings-college#ranking-dataset/634830,Pennsylvania,52.4,13.6,15.9,20.8,2.1
375,Milwaukee School of Engineering,https://www.timeshighereducation.com/world-university-rankings/milwaukee-school-engineering#ranking-dataset/634830,Wisconsin,52.4,11.9,14.7,21.7,3.9
377,California State University Maritime Academy,https://www.timeshighereducation.com/world-university-rankings/california-state-university-maritime-academy#ranking-dataset/634830,California,52.3,14.9,14,17.9,5.5
377,Campbell University,https://www.timeshighereducation.com/world-university-rankings/campbell-university#ranking-dataset/634830,North Carolina,52.3,13.8,16.9,16.7,4.9
377,"The Citadel, The Military College of South Carolina",https://www.timeshighereducation.com/world-university-rankings/citadel-military-college-south-carolina#ranking-dataset/634830,South Carolina,52.3,12.1,14.5,22.2,3.5
377,Georgetown College,https://www.timeshighereducation.com/world-university-rankings/georgetown-college#ranking-dataset/634830,Kentucky,52.3,16.7,15.5,17.6,2.6
377,San Diego State University,https://www.timeshighereducation.com/world-university-rankings/san-diego-state-university#ranking-dataset/634830,California,52.3,6.5,16.3,21.5,8
377,St Catherine University,https://www.timeshighereducation.com/world-university-rankings/st-catherine-university#ranking-dataset/634830,Minnesota,52.3,14.3,16.9,17,4.1
377,West Virginia University,https://www.timeshighereducation.com/world-university-rankings/west-virginia-university#ranking-dataset/634830,West Virginia,52.3,12.5,16.2,19.7,3.8
384,School of the Art Institute of Chicago,https://www.timeshighereducation.com/world-university-rankings/school-art-institute-chicago#ranking-dataset/634830,Illinois,52.2,18.6,14.2,13,6.4
385,University of Mount Union,https://www.timeshighereducation.com/world-university-rankings/university-mount-union#ranking-dataset/634830,Ohio,52.1,12.6,17,19.4,3.1
385,Philadelphia University,https://www.timeshighereducation.com/world-university-rankings/philadelphia-university#ranking-dataset/634830,Pennsylvania,52.1,11.8,15.9,19.3,5.1
387,Roger Williams University,https://www.timeshighereducation.com/world-university-rankings/roger-williams-university#ranking-dataset/634830,Rhode Island,52,15.1,16.3,17.7,3
387,Union University,https://www.timeshighereducation.com/world-university-rankings/union-university#ranking-dataset/634830,Tennessee,52,15.9,17.2,15.4,3.4
389,Eckerd College,https://www.timeshighereducation.com/world-university-rankings/eckerd-college#ranking-dataset/634830,Florida,51.9,16.3,16.1,15.9,3.5
390,University of Houston,https://www.timeshighereducation.com/world-university-rankings/university-houston#ranking-dataset/634830,Texas,51.8,8.1,16.3,19.3,8.1
390,The New School,https://www.timeshighereducation.com/world-university-rankings/new-school#ranking-dataset/634830,New York,51.8,15.4,15.4,13.7,7.3
390,Rockhurst University,https://www.timeshighereducation.com/world-university-rankings/rockhurst-university#ranking-dataset/634830,Missouri,51.8,11.4,15.5,22.9,2.1
393,Dordt College,https://www.timeshighereducation.com/world-university-rankings/dordt-college#ranking-dataset/634830,Iowa,51.7,12,18.2,19.3,2.1
393,Illinois State University,https://www.timeshighereducation.com/world-university-rankings/illinois-state-university#ranking-dataset/634830,Illinois,51.7,10.4,16.5,20.8,3.9
395,Central College,https://www.timeshighereducation.com/world-university-rankings/central-college#ranking-dataset/634830,Iowa,51.6,15.7,15.5,18.3,2.2
396,Chatham University,https://www.timeshighereducation.com/world-university-rankings/chatham-university#ranking-dataset/634830,Pennsylvania,51.5,19.9,15,11.6,4.9
396,University of Dallas,https://www.timeshighereducation.com/world-university-rankings/university-dallas#ranking-dataset/634830,Texas,51.5,16.3,15.2,16.4,3.6
396,Wittenberg University,https://www.timeshighereducation.com/world-university-rankings/wittenberg-university#ranking-dataset/634830,Ohio,51.5,14.4,15.9,18.4,2.8
399,Hiram College,https://www.timeshighereducation.com/world-university-rankings/hiram-college#ranking-dataset/634830,Ohio,51.4,16.6,15.5,14.9,4.4
399,John Brown University,https://www.timeshighereducation.com/world-university-rankings/john-brown-university#ranking-dataset/634830,Arkansas,51.4,9.5,16.7,22,3.2
401,Capital University,https://www.timeshighereducation.com/world-university-rankings/capital-university#ranking-dataset/634830,Ohio,51.3,14.2,16.6,17.4,3.1
401,College of Idaho,https://www.timeshighereducation.com/world-university-rankings/college-idaho#ranking-dataset/634830,Idaho,51.3,15.1,16,15.8,4.5
401,University of Missouri-Kansas City,https://www.timeshighereducation.com/world-university-rankings/university-missouri-kansas-city#ranking-dataset/634830,Missouri,51.3,16.3,14.8,13.8,6.4
401,New York Institute of Technology,https://www.timeshighereducation.com/world-university-rankings/new-york-institute-technology#ranking-dataset/634830,New York,51.3,14.7,13.8,14.4,8.4
401,Otterbein University,https://www.timeshighereducation.com/world-university-rankings/otterbein-university#ranking-dataset/634830,Ohio,51.3,16.4,16.6,15.8,2.5
406,University of Louisville,https://www.timeshighereducation.com/world-university-rankings/university-louisville#ranking-dataset/634830,Kentucky,51.2,18.8,15.2,12.2,5.1
406,University of Michigan-Dearborn,https://www.timeshighereducation.com/world-university-rankings/university-michigan-dearborn#ranking-dataset/634830,Michigan,51.2,11.3,15.7,17.4,6.8
406,Virginia Commonwealth University,https://www.timeshighereducation.com/world-university-rankings/virginia-commonwealth-university#ranking-dataset/634830,Virginia,51.2,13.5,15.7,15,6.9
409,James Madison University,https://www.timeshighereducation.com/world-university-rankings/james-madison-university#ranking-dataset/634830,Virginia,51.1,8.6,16.3,23.4,2.9
409,Montclair State University,https://www.timeshighereducation.com/world-university-rankings/montclair-state-university#ranking-dataset/634830,New Jersey,51.1,7,15.3,21.3,7.4
409,Roanoke College,https://www.timeshighereducation.com/world-university-rankings/roanoke-college#ranking-dataset/634830,Virginia,51.1,15.3,15.8,17.7,2.4
409,The College of Saint Scholastica,https://www.timeshighereducation.com/world-university-rankings/college-saint-scholastica#ranking-dataset/634830,Minnesota,51.1,10.7,15.9,21.9,2.7
413,Gordon College,https://www.timeshighereducation.com/world-university-rankings/gordon-college#ranking-dataset/634830,Massachusetts,50.9,12.3,15.4,19.3,3.9
413,Norwich University,https://www.timeshighereducation.com/world-university-rankings/norwich-university#ranking-dataset/634830,Vermont,50.9,15.1,14.5,18.5,2.7
413,Oklahoma State University,https://www.timeshighereducation.com/world-university-rankings/oklahoma-state-university#ranking-dataset/634830,Oklahoma,50.9,8.8,16.7,20,5.4
416,Saint Joseph's College-New York,https://www.timeshighereducation.com/world-university-rankings/saint-josephs-college-new-york#ranking-dataset/634830,New York,50.8,11.8,15,19.6,4.4
417,Berry College,https://www.timeshighereducation.com/world-university-rankings/berry-college#ranking-dataset/634830,Georgia,50.7,18.7,16.1,14.2,1.7
417,Doane College-Crete,https://www.timeshighereducation.com/world-university-rankings/doane-college-crete#ranking-dataset/634830,Nebraska,50.7,17.1,15.7,15.8,2.1
417,Franklin College,https://www.timeshighereducation.com/world-university-rankings/franklin-college#ranking-dataset/634830,Indiana,50.7,15,16.4,16.7,2.6
417,Gannon University,https://www.timeshighereducation.com/world-university-rankings/gannon-university#ranking-dataset/634830,Pennsylvania,50.7,13.1,16,18.2,3.5
417,Lycoming College,https://www.timeshighereducation.com/world-university-rankings/lycoming-college#ranking-dataset/634830,Pennsylvania,50.7,12.8,15.6,19.1,3.2
417,Marist College,https://www.timeshighereducation.com/world-university-rankings/marist-college#ranking-dataset/634830,New York,50.7,10.2,15.6,21.6,3.3
417,Saint Edward's University,https://www.timeshighereducation.com/world-university-rankings/saint-edwards-university#ranking-dataset/634830,Texas,50.7,12.5,17.3,14.5,6.4
424,SUNY New Paltz,https://www.timeshighereducation.com/world-university-rankings/suny-new-paltz#ranking-dataset/634830,New York,50.6,10.6,15.6,18.5,5.9
424,Salve Regina University,https://www.timeshighereducation.com/world-university-rankings/salve-regina-university#ranking-dataset/634830,Rhode Island,50.6,11.7,15.3,21.8,1.8
424,Seattle Pacific University,https://www.timeshighereducation.com/world-university-rankings/seattle-pacific-university#ranking-dataset/634830,Washington,50.6,11.3,16.5,17.5,5.2
424,Wagner College,https://www.timeshighereducation.com/world-university-rankings/wagner-college#ranking-dataset/634830,New York,50.6,13.1,14.2,19.4,3.9
424,Wilkes University,https://www.timeshighereducation.com/world-university-rankings/wilkes-university#ranking-dataset/634830,Pennsylvania,50.6,12.1,15,18.6,4.8
429,Eastern Mennonite University,https://www.timeshighereducation.com/world-university-rankings/eastern-mennonite-university#ranking-dataset/634830,Virginia,50.5,16.9,15.7,14.8,3.1
429,LIU Post,https://www.timeshighereducation.com/world-university-rankings/liu-post#ranking-dataset/634830,New York,50.5,11.7,15.8,16.7,6.2
429,Monmouth College,https://www.timeshighereducation.com/world-university-rankings/monmouth-college#ranking-dataset/634830,Illinois,50.5,16.5,14.5,15.2,4.4
429,Saint Ambrose University,https://www.timeshighereducation.com/world-university-rankings/saint-ambrose-university#ranking-dataset/634830,Iowa,50.5,14.9,17.4,15.6,2.6
429,St John's University-New York,https://www.timeshighereducation.com/world-university-rankings/st-johns-university-new-york#ranking-dataset/634830,New York,50.5,9.7,15.1,18.6,7.1
434,Le Moyne College,https://www.timeshighereducation.com/world-university-rankings/le-moyne-college#ranking-dataset/634830,New York,50.4,12.4,15,20,3
434,Stockton University,https://www.timeshighereducation.com/world-university-rankings/stockton-university#ranking-dataset/634830,New Jersey,50.4,7.3,14.4,22.9,5.7
434,Trinity Christian College,https://www.timeshighereducation.com/world-university-rankings/trinity-christian-college#ranking-dataset/634830,Illinois,50.4,13.4,16,16.7,4.3
437,University of Arkansas,https://www.timeshighereducation.com/world-university-rankings/university-arkansas#ranking-dataset/634830,Arkansas,50.3,9.3,16.5,20.2,4.3
437,California Lutheran University,https://www.timeshighereducation.com/world-university-rankings/california-lutheran-university#ranking-dataset/634830,California,50.3,9.8,15.6,19.1,5.8
437,East Carolina University,https://www.timeshighereducation.com/world-university-rankings/east-carolina-university#ranking-dataset/634830,North Carolina,50.3,10.7,16.9,17.8,5
437,Emerson College,https://www.timeshighereducation.com/world-university-rankings/emerson-college#ranking-dataset/634830,Massachusetts,50.3,11.6,14.2,19.6,4.9
437,Lincoln Memorial University,https://www.timeshighereducation.com/world-university-rankings/lincoln-memorial-university#ranking-dataset/634830,Tennessee,50.3,16.5,15,15.5,3.3
437,University of South Florida,https://www.timeshighereducation.com/world-university-rankings/university-south-florida#ranking-dataset/634830,Florida,50.3,8,16.4,18.3,7.6
443,University of Indianapolis,https://www.timeshighereducation.com/world-university-rankings/university-indianapolis#ranking-dataset/634830,Indiana,50.1,14.4,16.7,14.6,4.3
443,Louisiana State University,https://www.timeshighereducation.com/world-university-rankings/louisiana-state-university#ranking-dataset/634830,Louisiana,50.1,10.5,16.3,18.7,4.6
443,Loyola University New Orleans,https://www.timeshighereducation.com/world-university-rankings/loyola-university-new-orleans#ranking-dataset/634830,Louisiana,50.1,17.3,17,9.9,5.9
443,University of New Hampshire-Main Campus,https://www.timeshighereducation.com/world-university-rankings/university-new-hampshire-main-campus#ranking-dataset/634830,New Hampshire,50.1,9.8,16.5,21.1,2.7
447,Eastern Illinois University,https://www.timeshighereducation.com/world-university-rankings/eastern-illinois-university#ranking-dataset/634830,Illinois,50,14.8,16,14.5,4.8
447,Millikin University,https://www.timeshighereducation.com/world-university-rankings/millikin-university#ranking-dataset/634830,Illinois,50,15.1,16.1,15.4,3.3
449,Southern Nazarene University,https://www.timeshighereducation.com/world-university-rankings/southern-nazarene-university#ranking-dataset/634830,Oklahoma,49.9,10.8,16,18.6,4.5
449,Whitworth University,https://www.timeshighereducation.com/world-university-rankings/whitworth-university#ranking-dataset/634830,Washington,49.9,14.1,16.7,16.3,2.8
451,Misericordia University,https://www.timeshighereducation.com/world-university-rankings/misericordia-university#ranking-dataset/634830,Pennsylvania,49.8,12.4,15.2,20.2,1.9
451,Nebraska Wesleyan University,https://www.timeshighereducation.com/world-university-rankings/nebraska-wesleyan-university#ranking-dataset/634830,Nebraska,49.8,12.1,16.5,19.5,1.8
